hf (pretrained=/home/zhangping/zrc/llama-3.2-3b,dtype=float,trust_remote_code=True,trust_remote_code=True), gen_kwargs: (None), limit: None, num_fewshot: 0, batch_size: auto:4 (64,64,64,64,64)
|     Tasks      |Version|Filter|n-shot|  Metric  |   | Value |   |Stderr|
|lambada_openai  |      1|none  |     0|acc       |↑  |0.6715|±  |0.0065|
|                |       |none  |     0|perplexity|↓  |4.6136|±  |0.1095|
| - mnli         |      1|none  |     0|acc       |↑  |0.5515|±  |0.0050|
| - mnli_mismatch|      1|none  |     0|acc       |↑  |0.5659|±  |0.0050|
| - mrpc         |      1|none  |     0|acc       |↑  |0.7672|±  |0.0209|
|                |       |none  |     0|f1        |↑  |0.8342|±  |0.0168|
|piqa            |      1|none  |     0|acc       |↑  |0.7856|±  |0.0096|
|                |       |none  |     0|acc_norm  |↑  |0.7884|±  |0.0095|
| - qnli         |      1|none  |     0|acc       |↑  |0.6723|±  |0.0064|
| - qqp          |      2|none  |     0|acc       |↑  |0.8527|±  |0.0018|
|                |       |none  |     0|f1        |↑  |0.8012|±  |0.0025|
| - rte          |      1|none  |     0|acc       |↑  |0.7545|±  |0.0259|
|sciq            |      1|none  |     0|acc       |↑  |0.9620|±  |0.0060|
|                |       |none  |     0|acc_norm  |↑  |0.9540|±  |0.0066|
| - sst2         |      1|none  |     0|acc       |↑  |0.9014|±  |0.0101|
|winogrande      |      1|none  |     0|acc       |↑  |0.6851|±  |0.0131|
| - wnli         |      2|none  |     0|acc       |↑  |0.5493|±  |0.0595|

|Groups|Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|------|-------|------|-----:|------|---|-----:|---|-----:|
|glue  |N/A    |none  |     0|acc   |↑  |0.7514|±  |0.0016|
|      |       |none  |     0|f1    |↑  |0.8016|±  |0.0025|
|      |       |none  |     0|mcc   |↑  |0.1568|±  |0.0331|
